GPU,CPU,Difficulty,-r,k,C,OS,Giga Version,(Plot filter = 256),User,Information
RTX 4090,Epyc 7402P,"10,000",16,32,33,Ubuntu desktop 22.04,2.1.4.giga30,0.117,General Failure,
RTX 4090,Epyc 7402P,"20,000",16,32,33,Ubuntu desktop 22.04,2.1.4.giga30,0.136,General Failure,
RTX 4090,Epyc 7402P,"50,000",16,32,33,Ubuntu desktop 22.04,2.1.4.giga30,0.153,General Failure,
RTX 4090,Epyc 7402P,"100,000",16,32,33,Ubuntu desktop 22.04,2.1.4.giga30,0.161,General Failure,
RTX 4090,Epyc 7402P,"200,000",16,32,33,Ubuntu desktop 22.04,2.1.4.giga30,0.167,General Failure,
RTX 4090,Epyc 7402P,"500,000",16,32,33,Ubuntu desktop 22.04,2.1.4.giga30,0.169,General Failure,
RTX 4090,2 x E5-2680 v4,"20,000",16,32,30,Windows 10,2.1.4.giga30,1.290,Cathayan,Using 16/56 CPU threads
RTX 4090,2 x E5-2680 v4,"50,000",16,32,31,Windows 10,2.1.4.giga30,0.745,Cathayan,Using 16/56 CPU threads
RTX 4090,2 x E5-2680 v4,"100,000",16,32,32,Windows 10,2.1.4.giga30,0.366,Cathayan,Using 16/56 CPU threads
RTX 4090,2 x E5-2680 v4,"200,000",16,32,33,Windows 10,2.1.4.giga30,0.155,Cathayan,Using 16/56 CPU threads
RTX A4000,2 x E5-2697 v3,"1,000",8,32,31,ArchLinux 6.1.4,2.1.4.giga30,0.145,scrutinous,
RTX A4000,2 x E5-2697 v3,"10,000",8,32,31,ArchLinux 6.1.4,2.1.4.giga30,0.226,scrutinous,
RTX A4000,2 x E5-2697 v3,"20,000",8,32,31,ArchLinux 6.1.4,2.1.4.giga30,0.237,scrutinous,
RTX A4000,2 x E5-2697 v3,"100,000",8,32,31,ArchLinux 6.1.4,2.1.4.giga30,0.249,scrutinous,
RTX A4000,2 x E5-2697 v3,"800,000",8,32,31,ArchLinux 6.1.4,2.1.4.giga30,0.255,scrutinous,
